Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
1,webui,0,3,0,582.8899178204445,71.1564509508631,46.23839049235993,100.0,1100.0,1.0,8418.783291859221
2,webui,1,3,1,1959.4643006738668,76.69891779874371,53.95720135823429,100.0,1100.0,2.0,1051.7359159125174
3,webui,2,3,2,1167.2590419597786,58.84990259389984,49.556604414261464,100.0,1100.0,3.0,321.59699453991414
4,webui,3,3,3,353.8784704513333,49.77060940922712,61.9291544991511,100.0,1100.0,4.0,662.8053274543157
5,webui,4,3,4,610.5242575051212,60.07981129889872,66.87616808149406,100.0,1100.0,5.0,512.606255381012
6,webui,5,3,5,828.5409861213726,60.80793428074387,65.95360384833046,100.0,1150.0,1.0,382.8920418019472
7,webui,6,3,6,938.4647295393788,58.42216199577,64.33179456706284,100.0,1150.0,2.0,328.1018634716154
8,webui,7,3,7,958.8005751843357,54.22867404191298,63.76994634974534,100.0,1150.0,3.0,316.214682284878
9,webui,8,3,8,353.71440661666674,49.801558075834336,56.77473344651952,100.0,1150.0,4.0,670.5451897269817
10,webui,9,3,9,616.375251517,62.43511697597103,63.03745161290324,100.0,1150.0,5.0,547.782809631253
11,webui,10,3,10,797.1538620694788,62.854335399600245,62.316520656479874,100.0,1200.0,1.0,403.31887445128086
12,webui,11,3,11,912.2630725401992,60.07044777484854,60.61267996604416,100.0,1200.0,2.0,346.6737383250119
13,webui,12,3,12,556.788963994,70.30202536102993,41.6798064516129,100.0,1200.0,3.0,6474.20511623189
14,webui,13,3,13,945.6351675809692,56.26581043831305,59.894163667232604,100.0,1200.0,4.0,319.057363587685
15,webui,14,3,14,367.75963272155553,52.48836683263805,54.12055687606113,100.0,1200.0,5.0,636.6229959983161
16,webui,15,3,15,629.3903012567513,58.74455727109709,58.9497351443124,100.0,1250.0,1.0,496.9668256806478
17,webui,16,3,16,832.1626945681746,59.88872985128368,58.24047990945104,100.0,1250.0,2.0,372.42044243192606
18,webui,17,3,17,941.6961782575197,57.85587085353635,57.102466893039036,100.0,1250.0,3.0,323.00010794133567
19,webui,18,3,18,952.5046120564766,53.87769950592764,56.277320203735165,100.0,1250.0,4.0,309.93202467831253
20,webui,19,3,19,360.56474331911113,50.259869105644874,51.573711375212234,100.0,1250.0,5.0,632.5879561495306
21,webui,20,3,20,633.3450838214445,58.51488846140505,55.924397283531405,100.0,1300.0,1.0,474.70658496985925
22,webui,21,3,21,831.1804466491242,59.278885294381475,54.93306395019805,100.0,1300.0,2.0,362.60369666638036
23,webui,22,3,22,944.6918427255556,58.96824407729669,53.22091086587439,100.0,1300.0,3.0,325.7014610865756
24,webui,23,3,23,963.0167116456666,79.06180388092007,47.461331069609514,100.0,1300.0,4.0,3748.846471398694
25,webui,24,3,24,977.3105748374346,55.23009655808117,53.10231986417656,100.0,1300.0,5.0,320.7272979995088
26,webui,25,3,25,374.8837021593333,50.4772481642518,49.224074702886256,150.0,1100.0,1.0,653.681199986397
27,webui,26,3,26,644.263559809,59.41353421802734,52.85495755517826,150.0,1100.0,2.0,505.8955821158817
28,webui,27,3,27,834.1398824319998,59.71982193477386,52.4046779852858,150.0,1100.0,3.0,385.54173351817576
29,webui,28,3,28,945.5041617512921,58.280512388876744,51.1841595925297,150.0,1100.0,4.0,336.7983702298187
30,webui,29,3,29,986.3402211328,54.00610676664378,50.47847606112055,150.0,1100.0,5.0,319.46156523790427
31,webui,30,3,30,1343.4670299074323,81.26838744747216,50.01737521222408,150.0,1150.0,1.0,2064.2226659674793
32,webui,31,3,31,1663.1235158853808,77.69147453311248,50.674932088285196,150.0,1150.0,2.0,1380.3929795282108
33,webui,32,3,32,1944.8442688169775,74.82015727062544,50.512506621392205,150.0,1150.0,3.0,1050.132771856597
34,webui,33,3,33,578.5131627646667,70.09254831357164,40.07648556876062,150.0,1150.0,4.0,6434.542138130049
35,webui,34,3,34,970.4166960446668,78.73267483946594,45.76855857385398,150.0,1150.0,5.0,3332.246421154894
36,webui,35,3,35,1330.427807492139,79.04033117751871,47.53194793435201,150.0,1200.0,1.0,1869.3321994913047
37,webui,36,3,36,1680.9413298070726,76.80278488147079,48.02070713073006,150.0,1200.0,2.0,1283.9831416068773
38,webui,37,3,37,960.4469162873738,79.60878928690836,52.65229032258067,150.0,1200.0,3.0,3939.7559200978735
39,webui,38,3,38,1949.5352548613337,75.09285023789408,48.37666281833615,150.0,1200.0,4.0,989.4321709523456
40,webui,39,3,39,567.3657475313332,69.80647786499904,37.603042444821725,150.0,1200.0,5.0,6712.174082876981
41,webui,40,3,40,962.4179117077878,78.23260762024164,43.31629881154499,150.0,1250.0,1.0,3612.683514542132
42,webui,41,3,41,1335.653138021525,79.45275042595136,45.913861912846656,150.0,1250.0,2.0,1881.996097910966
43,webui,42,3,42,1677.311277410104,76.68345961247203,46.23516298811545,150.0,1250.0,3.0,1295.3937965422551
44,webui,43,3,43,1956.322157576089,74.83015207399322,46.06077011884555,150.0,1250.0,4.0,1006.0518614035425
45,webui,44,3,44,464.3073366766665,64.21896330600647,54.27240407470288,150.0,1250.0,5.0,2576.86410426937
46,webui,45,3,45,794.8310212506667,72.20737246362006,60.34808488964345,150.0,1300.0,1.0,1425.1999150086199
47,webui,46,3,46,1113.022271919974,72.05873310626744,62.11293604980193,150.0,1300.0,2.0,897.6293686866189
48,webui,47,3,47,1380.8824605025,69.75531936152689,61.526727504244505,150.0,1300.0,3.0,664.2279117489071
49,webui,48,3,48,1347.9288605047223,81.52843977785032,55.43916808149406,150.0,1300.0,4.0,2123.0608994776253
50,webui,49,3,49,1614.3497721900117,68.59161747335098,60.747666553480485,150.0,1300.0,5.0,540.3469566041686
51,webui,50,3,50,464.55577528800006,62.58239599644967,49.601881154499154,200.0,1100.0,1.0,2562.259142761559
52,webui,51,3,51,820.1919734415869,74.16913350421382,55.33187096774194,200.0,1100.0,2.0,1477.9433754136994
53,webui,52,3,52,1119.3911272284524,71.3144158310749,57.81046519524616,200.0,1100.0,3.0,935.1000140331714
54,webui,53,3,53,1383.6924472820544,69.99026247942928,57.4427818336163,200.0,1100.0,4.0,693.3480945550565
55,webui,54,3,54,1646.8241578362206,68.9234769606855,56.89522648556873,200.0,1100.0,5.0,562.7466333648066
56,webui,55,3,55,461.9047316468888,63.13746449729649,47.031514431239394,200.0,1150.0,1.0,2639.938490678673
57,webui,56,3,56,808.9977331176767,72.22922475389109,53.39287775891343,200.0,1150.0,2.0,1557.8248944922839
58,webui,57,3,57,1119.1905658417459,70.67423164776469,54.56626711941143,200.0,1150.0,3.0,948.7098934055455
59,webui,58,3,58,1396.1422515490026,69.9591971305201,54.01147453310697,200.0,1150.0,4.0,699.7450510422576
60,webui,59,3,59,1686.1228239115874,79.23754519442608,57.309556027164675,200.0,1150.0,5.0,1445.6701084514564
61,webui,60,3,60,1628.7413570696306,68.05922008394491,53.65349745331065,200.0,1200.0,1.0,563.348929269158
62,webui,61,3,61,480.385419274,61.718343863092855,44.807202037351445,200.0,1200.0,2.0,2695.0189287180538
63,webui,62,3,62,840.0183224486667,72.84859161157127,51.277560271646884,200.0,1200.0,3.0,1430.4101226607947
64,webui,63,3,63,1150.5897638555555,71.58223958042953,52.59401697792866,200.0,1200.0,4.0,898.0169679119056
65,webui,64,3,64,1411.2868355126668,68.35958204957461,51.938449066213934,200.0,1200.0,5.0,662.5585040749278
66,webui,65,3,65,1640.7532684226667,68.05495327424052,51.434922241086596,200.0,1250.0,1.0,538.470242802424
67,webui,66,3,66,475.0685576466666,63.54472946802823,41.77875042444822,200.0,1250.0,2.0,2687.3495712503363
68,webui,67,3,67,845.773191267456,73.37420590118802,48.762633276740225,200.0,1250.0,3.0,1456.5919037924727
69,webui,68,3,68,1121.35534828975,71.22918679342645,49.83650594227505,200.0,1250.0,4.0,883.2798695811007
70,webui,69,3,69,1395.4801122842732,69.79227037862049,48.78255942275042,200.0,1250.0,5.0,657.4555829183364
71,webui,70,3,70,1975.5430263237333,76.3938529587928,56.89940984719865,200.0,1300.0,1.0,1095.31025830939
72,webui,71,3,71,1630.8240527857329,68.73664504221149,48.41793344651952,200.0,1300.0,2.0,537.4974937182753
73,webui,72,3,72,389.936988078,57.82505101068874,56.358675721561966,200.0,1300.0,3.0,1566.488120100556
74,webui,73,3,73,701.290693013429,68.96467182433813,63.23166044142613,200.0,1300.0,4.0,907.2709199375225
75,webui,74,3,74,976.4830016355075,66.33091378969526,64.51149066213921,200.0,1300.0,5.0,599.8667964546279
76,webui,75,3,75,1195.2781752134833,64.6606443396145,63.37702886247878,250.0,1100.0,1.0,457.8102262538208
77,webui,76,3,76,1364.4441655317619,63.240595997347974,62.571514431239414,250.0,1100.0,2.0,388.4343914197618
78,webui,77,3,77,402.6165696626667,59.71638372177108,53.0892767402377,250.0,1100.0,3.0,1696.1832964241057
79,webui,78,3,78,738.1839555075455,67.59422518180625,58.163117147708,250.0,1100.0,4.0,1022.4875926153421
80,webui,79,3,79,1023.7614580752501,67.14336803324159,58.13752688172042,250.0,1100.0,5.0,653.1892189828183
81,webui,80,3,80,1239.6220117297858,65.85418380114426,57.33505602716466,250.0,1150.0,1.0,509.7223553804985
82,webui,81,3,81,577.40905613,70.08389130878486,44.52743972835314,250.0,1150.0,2.0,6474.290243845977
83,webui,82,3,82,1411.257248924308,66.35274180331334,56.61835517826827,250.0,1150.0,3.0,444.55731434389327
84,webui,83,3,83,444.148636292,58.69704329853012,49.429181663837014,250.0,1150.0,4.0,1815.8220690404007
85,webui,84,3,84,752.6357421927016,67.58216024445736,54.349816638370115,250.0,1150.0,5.0,999.7347017950882
86,webui,85,3,85,1023.8453041385823,68.17137498617724,54.56162535370687,250.0,1200.0,1.0,633.9955370029395
87,webui,86,3,86,1246.059871836795,66.06739456828416,54.1097224108659,250.0,1200.0,2.0,499.1685298676545
88,webui,87,3,87,1422.9841977095002,66.23248182637373,53.700761969439725,250.0,1200.0,3.0,427.2381958083182
89,webui,88,3,88,429.7658023,58.28318646868128,48.40009847198641,250.0,1200.0,4.0,1400.940945100721
90,webui,89,3,89,738.5461255504466,66.32502535792882,53.565544991511025,250.0,1200.0,5.0,835.9999267244505
91,webui,90,3,90,999.7930519122223,66.55134795811708,53.541078664402946,250.0,1250.0,1.0,581.6797793527468
92,webui,91,3,91,1210.6334937791128,64.30599149299523,52.504262308998264,250.0,1250.0,2.0,451.1806238381573
93,webui,92,3,92,975.5243571093333,79.41030152982077,50.62454499151104,250.0,1250.0,3.0,3427.615034052932
94,webui,93,3,93,1393.7077574345396,63.63502018735911,52.20006315789472,250.0,1250.0,4.0,389.4534600089838
95,webui,94,3,94,436.2192693680001,59.25526758760587,45.87723938879456,250.0,1250.0,5.0,1450.4889967372542
96,webui,95,3,95,747.346206683293,68.72641070931164,50.3623429541596,250.0,1300.0,1.0,852.2668418286515
97,webui,96,3,96,1013.7118459948613,65.57677403251925,50.607197509903784,250.0,1300.0,2.0,581.5379137087255
98,webui,97,3,97,1221.5150219311295,63.768880713215154,50.326444821731755,250.0,1300.0,3.0,458.0058058501422
99,webui,98,3,98,1388.8938336044764,63.08339545398396,49.44175891341257,250.0,1300.0,4.0,390.9101403708502
100,webui,99,3,99,380.05076488,54.093346612688364,59.761612903225796,250.0,1300.0,5.0,1017.256701155138
101,webui,100,3,100,651.2338485142425,62.78017193846917,66.37978438030561,300.0,1100.0,1.0,653.3066019196001
102,webui,101,3,101,902.4061853287221,62.92450365037995,65.66024674589701,300.0,1100.0,2.0,452.082195657157
103,webui,102,3,102,1044.9432903686925,61.94510871668008,64.23424448217322,300.0,1100.0,3.0,368.471395774294
104,webui,103,3,103,1335.8766940888886,80.4289022520399,52.96891907187323,300.0,1100.0,4.0,1931.5516133862743
105,webui,104,3,104,1140.5450360508228,59.096410823443534,63.57193887945673,300.0,1100.0,5.0,331.8085796777651
106,webui,105,3,105,385.292848892,51.67065523285146,55.266210526315795,300.0,1150.0,1.0,935.1617626312343
107,webui,106,3,106,666.8532096299999,62.85905652723214,60.690662139219015,300.0,1150.0,2.0,634.502083860087
108,webui,107,3,107,902.2136039411113,62.81891545452656,60.65311601584608,300.0,1150.0,3.0,452.53489901562943
109,webui,108,3,108,1060.8291795314242,61.50560897424181,59.23399660441428,300.0,1150.0,4.0,368.5534714491017
110,webui,109,3,109,1154.8036551034315,58.87635852799845,58.70389473684211,300.0,1150.0,5.0,334.06630649410897
111,webui,110,3,110,384.5451731633333,54.08484010049095,53.84153140916809,300.0,1200.0,1.0,917.4598865604506
112,webui,111,3,111,674.3413114783334,62.243659856132965,57.141733446519524,300.0,1200.0,2.0,611.373517408744
113,webui,112,3,112,912.185159176058,62.48085362459229,57.03495868704016,300.0,1200.0,3.0,438.8915506237933
114,webui,113,3,113,1090.6013261287858,61.673367765127445,56.17832852292014,300.0,1200.0,4.0,359.2747799767801
115,webui,114,3,114,1664.0992431309999,78.91773051197619,53.60771052631579,300.0,1200.0,5.0,1358.0011514702192
116,webui,115,3,115,1186.397888340049,58.79731895351567,55.13849711375209,300.0,1250.0,1.0,324.55217874464495
117,webui,116,3,116,386.5714343908889,51.41904004906128,50.90984719864177,300.0,1250.0,2.0,856.7124160979571
118,webui,117,3,117,672.8638500195557,61.30020172859397,53.86418845500849,300.0,1250.0,3.0,582.6629914078483
119,webui,118,3,118,909.0274370708524,62.96386457038369,53.950104131295994,300.0,1250.0,4.0,420.28647878745295
120,webui,119,3,119,1078.8714626641854,61.19036815958187,53.064211375212246,300.0,1250.0,5.0,352.35299248800226
121,webui,120,3,120,1158.6502966467403,58.71663012909238,52.39593208828527,300.0,1300.0,1.0,322.4894054514255
122,webui,121,3,121,390.584079808,52.61838367062345,48.067113752122246,300.0,1300.0,2.0,836.403258504364
123,webui,122,3,122,684.9214968091112,61.29157339641404,52.318526315789484,300.0,1300.0,3.0,568.9657770021864
124,webui,123,3,123,898.7693097001111,60.92902460641917,51.35749292586303,300.0,1300.0,4.0,418.34024542621626
125,webui,124,3,124,1074.5460630407067,61.260648021800115,50.29909677419358,300.0,1300.0,5.0,350.1434003588508
