,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
0,0,,,,,,,,
1,11,2.041230376041825,0.002671011133007764,0.0,,1.0,200.0,200.0,200.0
2,13,,,0.0,,2.0,,,200.0
3,22,,,0.0,,3.0,,,200.0
4,26,,,0.0,,4.0,,,200.0
5,33,,,0.0,,5.0,,,200.0
6,39,,,0.0,,1.0,,,400.0
7,44,,,0.0,,2.0,,,400.0
8,52,,,0.0,,3.0,,,400.0
9,55,,,0.0,,4.0,,,400.0
10,65,,,0.0,,5.0,,,400.0
11,66,,,0.0,,1.0,,,600.0
12,77,,,0.0,,2.0,,,600.0
13,78,,,0.0,,3.0,,,600.0
14,88,,,0.0,,4.0,200.0,400.0,600.0
15,91,,,0.0,,5.0,,,600.0
16,99,,,0.0,,1.0,,,800.0
17,104,,,0.0,,2.0,,,800.0
18,110,,,0.0,,3.0,,,800.0
19,117,,,0.0,,4.0,,,800.0
20,121,,,0.0,,5.0,,,800.0
21,130,,,0.0,,1.0,,,1000.0
22,132,,,0.0,,2.0,,,1000.0
23,143,,,0.0,,3.0,,,1000.0
24,154,,,0.0,,4.0,,,1000.0
25,156,,,0.0,,5.0,,,1000.0
26,165,,,0.0,,1.0,,,200.0
27,169,,,0.0,,2.0,200.0,600.0,200.0
28,176,,,0.0,,3.0,,,200.0
29,182,,,0.0,,4.0,,,200.0
30,187,,,0.0,,5.0,,,200.0
31,195,,,0.0,,1.0,,,400.0
32,198,,,0.0,,2.0,,,400.0
33,208,,,0.0,,3.0,,,400.0
34,209,,,0.0,,4.0,,,400.0
35,220,,,0.0,,5.0,,,400.0
36,221,,,0.0,,1.0,,,600.0
37,231,,,0.0,,2.0,,,600.0
38,234,,,0.0,,3.0,,,600.0
39,242,,,0.0,,4.0,,,600.0
40,247,,,0.0,,5.0,200.0,600.0,600.0
41,253,,,0.0,,1.0,,,800.0
42,260,,,0.0,,2.0,,,800.0
43,264,,,0.0,,3.0,,,800.0
44,273,,,0.0,,4.0,,,800.0
45,275,,,0.0,,5.0,,,800.0
46,286,,,0.0,,1.0,,,1000.0
47,297,,,0.0,,2.0,,,1000.0
48,299,,,0.0,,3.0,,,1000.0
49,308,,,0.0,,4.0,,,1000.0
50,312,,,0.0,,5.0,,,1000.0
51,319,,,0.0,,1.0,,,200.0
52,325,,,0.0,,2.0,,,200.0
53,330,,,0.0,,3.0,200.00000000000003,600.0,200.0
54,338,,,0.0,,4.0,,,200.0
55,341,,,0.0,,5.0,,,200.0
56,351,,,0.0,,1.0,,,400.0
57,352,,,0.0,,2.0,,,400.0
58,363,,,0.0,,3.0,,,400.0
59,364,,,0.0,,4.0,,,400.0
60,374,,,0.0,,5.0,,,400.0
61,377,,,0.0,,1.0,,,600.0
62,385,,,0.0,,2.0,,,600.0
63,390,,,0.0,,3.0,,,600.0
64,396,,,0.0,,4.0,,,600.0
65,403,,,0.0,,5.0,,,600.0
66,407,,,0.0,,1.0,200.0,600.0,800.0
67,416,,,0.0,,2.0,,,800.0
68,418,,,0.0,,3.0,,,800.0
69,429,,,0.0,,4.0,,,800.0
70,440,,,0.0,,5.0,,,800.0
71,442,,,0.0,,1.0,,,1000.0
72,451,,,0.0,,2.0,,,1000.0
73,455,,,0.0,,3.0,,,1000.0
74,462,,,0.0,,4.0,,,1000.0
75,468,,,0.0,,5.0,,,1000.0
76,473,,,0.0,,1.0,,,200.0
77,481,,,0.0,,2.0,,,200.0
78,484,,,0.0,,3.0,,,200.0
79,494,,,0.0,,4.0,200.0,600.0,200.0
80,495,,,0.0,,5.0,,,200.0
81,506,,,0.0,,1.0,,,400.0
82,507,,,0.0,,2.0,,,400.0
83,517,,,0.0,,3.0,,,400.0
84,520,,,0.0,,4.0,,,400.0
85,528,,,0.0,,5.0,,,400.0
86,533,,,0.0,,1.0,,,600.0
87,539,,,,,2.0,,,600.0
88,546,,,,,3.0,,,600.0
89,550,,,,,4.0,,,600.0
90,559,,,,,5.0,,,600.0
91,561,,,,,1.0,,,800.0
92,572,,,,,2.0,200.0,800.0,800.0
93,583,,,,,3.0,,,800.0
94,585,,,,,4.0,,,800.0
95,594,,,,,5.0,,,800.0
96,598,,,,,1.0,,,1000.0
97,605,,,,,2.0,,,1000.0
98,611,,,,,3.0,,,1000.0
99,616,,,,,4.0,,,1000.0
100,624,,,,,5.0,,,1000.0
101,627,,,,,1.0,,,200.0
102,637,,,,,2.0,,,200.0
103,638,,,,,3.0,,,200.0
104,649,,,,,4.0,,,200.0
105,650,,,,,5.0,200.0,800.0,200.0
106,660,,,,,1.0,,,400.0
107,663,,,,,2.0,,,400.0
108,671,,,,,3.0,,,400.0
109,676,,,,,4.0,,,400.0
110,682,,,,,5.0,,,400.0
111,689,,,,,1.0,,,600.0
112,693,,,,,2.0,,,600.0
113,702,,,,,3.0,,,600.0
114,704,,,,,4.0,,,600.0
115,715,,,,,5.0,,,600.0
116,726,,,,,1.0,,,800.0
117,728,,,,,2.0,,,800.0
118,737,,,,,3.0,200.00000000000003,800.0,800.0
119,741,,,,,4.0,,,800.0
120,748,,,,,5.0,,,800.0
121,754,,,,,1.0,,,1000.0
122,759,,,,,2.0,,,1000.0
123,767,,,,,3.0,,,1000.0
124,770,,,,,4.0,,,1000.0
125,780,,,,,5.0,,,1000.0
126,781,,,,,,,,
127,792,,,,,,,,
128,793,,,,,,,,
129,803,,,,,,,,
130,806,,,,,,,,
131,814,,,,,,200.0,800.0,
132,819,,,,,,,,
133,825,,,,,,,,
134,832,,,,,,,,
135,836,,,,,,,,
136,845,,,,,,,,
137,847,,,,,,,,
138,858,,,,,,,,
139,869,,,,,,,,
140,871,,,,,,,,
141,880,,,,,,,,
142,884,,,,,,,,
143,891,,,,,,,,
144,897,1.8227649681592664,0.0031122346497694177,,,,200.0,200.0,
145,902,,,,,,,,
146,910,,,,,,,,
147,913,,,,,,,,
148,923,,,,,,,,
149,924,,,,,,,,
150,935,,,,,,,,
151,936,,,,,,,,
152,949,,,,,,,,
153,962,,,,,,,,
154,975,,,,,,,,
155,988,,,,,,,,
156,1001,,,,,,,,
157,1014,,,,,,200.0,800.0,
158,1027,,,,,,,,
159,1040,,,,,,,,
160,1053,,,,,,,,
161,1066,,,,,,,,
162,1079,,,,,,,,
163,1092,,,,,,,,
164,1105,,,,,,,,
